type,overall.away,overall.home,overall.middle,interval_type,interval,away,home,middle,label,match_id,date,home_team,away_team
ballPossession,47.0,53.0,NaN,5,31-35,45.5,54.5,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
ballPossession,47.0,53.0,NaN,5,36-40,25.0,75.0,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
ballPossession,47.0,53.0,NaN,5,41-45,35.9,64.1,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
ballPossession,47.0,53.0,NaN,5,46-50,34.7,65.3,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
ballPossession,47.0,53.0,NaN,5,51-55,69.2,30.8,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
ballPossession,47.0,53.0,NaN,5,56-60,17.4,82.6,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
ballPossession,47.0,53.0,NaN,5,61-65,46.0,54.0,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
ballPossession,47.0,53.0,NaN,5,66-70,55.6,44.4,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
ballPossession,47.0,53.0,NaN,5,71-75,43.4,56.6,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
ballPossession,47.0,53.0,NaN,5,76-80,73.5,26.5,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
ballPossession,47.0,53.0,NaN,5,81-85,77.8,22.2,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
ballPossession,47.0,53.0,NaN,5,86-90,68.7,31.3,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
ballPossession,47.0,53.0,NaN,15,0-15,25.3,74.7,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
ballPossession,47.0,53.0,NaN,15,16-30,46.0,54.0,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
ballPossession,47.0,53.0,NaN,15,31-45,34.9,65.1,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
ballPossession,47.0,53.0,NaN,15,46-60,46.0,54.0,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
ballPossession,47.0,53.0,NaN,15,61-75,48.8,51.2,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
ballPossession,47.0,53.0,NaN,15,76-90,71.4,28.6,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
ballPossession,47.0,53.0,NaN,45,0-45,34.9,65.1,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
ballPossession,47.0,53.0,NaN,45,46-90,57.7,42.3,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,5,0-5,49.0,51.0,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,5,6-10,59.5,40.5,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,5,11-15,54.5,45.5,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,5,16-20,25.9,74.1,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,5,21-25,41.4,58.6,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,5,26-30,40.5,59.5,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,5,31-35,36.4,63.6,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,5,36-40,36.4,63.6,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,5,41-45,40.2,59.8,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,5,46-50,44.9,55.1,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,5,51-55,30.8,69.2,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,5,56-60,30.4,69.6,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,5,61-65,44.0,56.0,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,5,66-70,44.4,55.6,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,5,71-75,54.7,45.3,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,5,76-80,73.5,26.5,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,5,81-85,46.7,53.3,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,5,86-90,78.4,21.6,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,15,0-15,54.1,45.9,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,15,16-30,33.9,66.1,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,15,31-45,38.5,61.5,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,15,46-60,36.3,63.7,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,15,61-75,47.6,52.4,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,15,76-90,70.9,29.1,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,45,0-45,42.4,57.6,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorial,48.9,51.1,NaN,45,46-90,54.7,45.3,NaN,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
territorialThird,32.0,25.6,42.4,5,0-5,22.4,26.5,51.1,Helsingør vs B 93,9e02krv6p7kmlizvssr6mn1n8,2023-07-30,Helsingør,B 93
